,企业代号,回扣率,蓝票率,资产转化率,净利润占比
0,E124,0.0317092034029389,0.1500386697602475,0.9443109542058798,-0.006404000775172654
1,E125,0.026332288401253918,0.13479623824451414,1.0094683366605781,0.0012923776669107891
2,E126,0.021108179419525065,0.1662269129287599,4.617141957487457,0.059716420904593656
3,E127,0.0009935419771485345,0.030303030303030276,395.9051318414865,0.09519830233573327
4,E128,0.0,0.07490039840637452,27.149334426794056,0.03417729717942256
5,E129,0.014784253051401066,0.1093347086126869,4.266681487557272,0.03640507638157826
6,E130,0.015195369030390739,0.04413892908827788,1.5188962678492086,0.005503147767337881
7,E131,0.012589928057553957,0.07164268585131894,1.8777525772538626,0.014307900277803366
8,E132,0.004449388209121246,0.07730812013348165,3.174408954955077,0.020392077147798997
9,E133,0.01764705882352941,0.17647058823529416,2.9061351015953347,0.01091309088582582
10,E134,0.018892508143322474,0.07654723127035834,31.260734496546036,0.017404223576321105
11,E135,0.03389830508474576,0.11138014527845042,5.517444195815977,0.016245601551862845
12,E136,0.002952029520295203,0.05239852398523981,1.0186184072831572,0.0003121369465572673
13,E137,0.023622047244094488,0.09055118110236215,1.387298698554167,0.00585511667762274
14,E138,0.00804289544235925,0.03552278820375332,5.18779422290761,0.012742965329404901
15,E139,0.0024957104975822804,0.04780845421931057,155.07259980032515,0.02730280112189371
16,E140,0.02603550295857988,0.1408284023668639,26.337752860947976,0.02569239709741067
17,E141,0.030379746835443037,0.05949367088607593,4.068073894813893,0.01759617957239298
18,E142,0.006775067750677507,0.07452574525745259,1.971829311043923,0.007017954095111529
19,E143,0.018260869565217393,0.04434782608695653,2.7649661422937615,0.00845138245790073
20,E144,0.04264705882352941,0.0845588235294118,12.02562144592848,0.013981457318219873
21,E145,0.018730976352142357,0.09997658627955985,1.0406539996985387,0.0006723783141242085
22,E146,0.019851116625310174,0.12158808933002485,1.0657680851437634,0.001184436033316503
23,E147,0.010122311261071278,0.024040489245044316,1.271426307394983,0.0058651130700871695
24,E148,0.0035587188612099642,0.039145907473309594,2.7907282950693566,0.007568275773705288
25,E149,0.026101141924959218,0.06443719412724302,178.6114529233116,0.014737970836660444
26,E150,0.0021551724137931034,0.11637931034482762,1.3731750283257582,0.004545650205397921
27,E151,0.0,0.05405405405405406,9.953544424364054,0.013487398392605085
28,E152,0.005901639344262295,0.0242622950819672,18.978747635368446,0.01658772939593505
29,E153,0.0028169014084507044,0.21126760563380287,2741.512134487824,0.03527140177894552
30,E154,0.011960478419136765,0.05564222568902755,0.6050696214483007,-0.0071145471815617645
31,E155,0.008310249307479225,0.03508771929824561,1.0586069674608576,0.0006369935880089581
32,E156,0.06306306306306306,0.1351351351351351,71.83804991128711,0.022211607331761488
33,E157,0.07507507507507508,0.08108108108108103,1.4009168701992516,0.002811853731128374
